x-axis,1,2
second,Ampere,Volt
-0.01,0.38,217.09
-0.01,0.17,233.17
-0.01,-0.03,257.29
-0.01,0.53,202.82
-0.01,0.38,233.42
-0.01,-0.03,251.58
-0.01,0.17,233.17
-0.01,0.21,218.64
-0.01,0.17,232.65
-0.01,0.38,227.72
-0.01,0.06,252.62
-0.01,0.17,215.79
-0.01,0.56,217.86
-0.01,0.10,246.40
-0.01,0.05,238.09
-0.01,0.38,238.08
-0.01,0.17,252.35
-0.01,0.17,225.13
-0.01,0.17,240.67
-0.01,-0.03,233.17
-0.01,0.38,210.34
-0.01,0.29,244.57
-0.01,-0.03,235.77
-0.01,0.38,209.05
-0.01,0.34,225.13
-0.01,0.17,228.75
-0.01,0.32,230.82
-0.01,0.17,225.92
-0.01,0.38,210.85
-0.01,0.38,233.17
-0.01,-0.03,253.12
-0.01,0.17,241.20
-0.01,0.38,217.09
-0.01,0.17,249.25
-0.01,0.17,218.91
-0.01,0.17,241.46
-0.01,0.17,233.17
-0.01,0.48,221.48
-0.01,0.17,241.21
-0.01,-0.03,255.76
-0.01,0.51,211.63
-0.01,0.38,237.82
-0.01,0.17,233.17
-0.01,0.17,241.21
-0.01,0.25,225.13
-0.01,0.38,222.00
-0.01,0.20,233.17
-0.01,-0.03,295.44
-0.01,0.25,209.05
-0.01,0.38,225.13
-0.01,0.17,272.58
-0.01,0.17,220.94
-0.01,0.17,228.48
-0.01,0.17,241.21
-0.01,0.38,232.63
-0.01,-0.03,247.70
-0.01,0.06,230.36
-0.01,0.58,214.74
-0.01,0.37,241.21
-0.01,0.17,233.17
-0.01,0.27,237.33
-0.01,0.38,183.48
-0.01,0.38,225.13
-0.01,0.32,235.22
-0.01,-0.03,246.24
-0.01,0.38,209.05
-0.01,0.38,233.41
-0.01,-0.03,251.56
-0.01,0.17,233.17
-0.01,0.38,231.59
-0.01,0.17,241.21
-0.01,0.38,233.17
-0.01,-0.03,256.03
-0.01,0.17,218.40
-0.01,0.56,225.13
-0.01,0.17,212.80
-0.01,0.17,230.03
-0.01,0.38,217.09
-0.01,0.35,227.16
-0.01,0.17,230.07
-0.01,0.17,224.54
-0.01,0.17,256.49
-0.01,0.54,209.05
-0.01,0.17,249.25
-0.01,-0.03,254.67
-0.01,0.36,211.21
-0.01,0.38,231.63
-0.01,0.17,241.21
-0.01,0.38,230.81
-0.01,-0.03,249.25
-0.01,0.38,217.09
-0.01,0.38,228.99
-0.01,0.12,243.30
-0.01,0.17,233.14
-0.01,0.38,219.14
-0.01,0.17,237.29
-0.01,0.17,233.17
-0.01,0.17,241.67
-0.01,0.17,258.40
-0.01,0.38,217.09
-0.01,0.17,249.25
-0.01,-0.03,256.79
-0.01,0.38,214.52
-0.01,0.38,237.81
-0.01,-0.03,242.53
-0.01,0.17,263.07
-0.01,0.17,233.17
-0.01,0.38,225.13
-0.01,0.38,242.27
-0.01,0.15,239.22
-0.01,0.25,217.09
-0.01,0.45,227.40
-0.01,-0.01,262.90
-0.01,0.17,222.59
-0.01,0.17,242.56
-0.01,0.17,243.83
-0.01,0.38,225.13
-0.01,0.17,249.25
-0.01,-0.03,262.57
-0.01,0.43,214.72
-0.01,0.38,248.96
-0.01,0.13,233.17
-0.01,0.27,241.21
-0.01,0.38,227.23
-0.01,0.17,233.13
-0.01,0.32,241.21
-0.01,-0.03,240.63
-0.01,0.33,218.93
-0.01,0.57,233.39
-0.01,0.12,257.29
-0.01,0.17,244.87
-0.01,0.38,231.58
-0.01,0.17,248.76
-0.01,0.31,233.17
-0.01,-0.03,240.25
-0.01,0.34,218.42
-0.01,0.56,226.61
-0.01,0.10,244.85
-0.01,0.17,252.73
-0.01,0.17,232.09
-0.01,0.17,239.20
-0.01,0.38,233.17
-0.01,-0.21,228.65
-0.01,-0.03,227.57
-0.01,0.38,225.13
-0.01,-0.03,270.62
-0.01,0.17,227.76
-0.01,0.17,256.17
-0.01,0.21,239.69
-0.01,0.46,233.17
-0.01,0.17,249.25
-0.01,-0.03,248.35
-0.01,0.42,225.13
-0.01,0.17,265.33
-0.01,0.17,235.28
-0.01,0.17,257.25
-0.01,0.17,241.11
-0.01,0.47,233.17
-0.01,0.02,255.43
-0.01,-0.02,249.25
-0.01,0.38,225.13
-0.01,0.17,260.96
-0.01,0.38,226.72
-0.01,0.17,265.33
-0.01,0.04,230.62
-0.01,0.46,229.75
-0.01,0.01,243.89
-0.01,0.17,236.10
-0.01,0.38,227.93
-0.01,0.17,255.56
-0.01,0.38,233.17
-0.01,0.00,245.28
-0.01,0.05,222.06
-0.01,0.58,222.23
-0.01,0.15,270.70
-0.01,0.17,239.95
-0.01,0.26,250.64
-0.01,0.17,257.29
-0.01,0.38,225.13
-0.01,0.17,257.29
-0.01,0.06,250.12
-0.01,0.58,222.74
